iter	RMSE
0	25.30887923
1	24.72107055
2	24.11802875
3	23.49115224
4	22.85760902
5	22.23525665
6	21.74029456
7	21.12966402
8	20.62814332
9	20.13433722
10	19.65016512
11	19.16702081
12	18.68150548
13	18.32537158
14	17.929977
15	17.56427403
16	17.21277901
17	16.82292594
18	16.50129648
19	16.14987782
20	15.80620728
21	15.50537571
22	15.20030882
23	14.88549039
24	14.57004023
25	14.32339293
26	14.09289565
27	13.8664678
28	13.61739995
29	13.38441757
30	13.13687036
31	12.97374778
32	12.7393328
33	12.5521763
34	12.32526877
35	12.13037763
36	12.00286184
37	11.89243791
38	11.67345129
39	11.50883924
40	11.29303227
41	11.07674405
42	10.89131268
43	10.71588254
44	10.56599356
45	10.41678136
46	10.27933005
47	10.12535773
48	10.02229586
49	9.912901284
50	9.77214915
51	9.621418398
52	9.483237773
53	9.32945464
54	9.213803683
55	9.101610567
56	8.987085878
57	8.902298492
58	8.786915282
59	8.689584741
60	8.570987928
61	8.481717516
62	8.348371071
63	8.242441432
64	8.161443212
65	8.059596585
66	7.976187239
67	7.860970235
68	7.792895881
69	7.674396927
70	7.582000659
71	7.488259211
72	7.40831198
73	7.330272715
74	7.224883087
75	7.137361747
76	7.047733182
77	6.988378704
78	6.900255688
79	6.813088122
80	6.727356659
81	6.641009701
82	6.577164155
83	6.508354321
84	6.439417712
85	6.32814857
86	6.261945413
87	6.178980182
88	6.086545207
89	6.015866769
90	5.93558848
91	5.856788123
92	5.767711399
93	5.684944847
94	5.606927779
95	5.52781528
96	5.461196099
97	5.376200228
98	5.308654761
99	5.245418675
100	5.194649414
101	5.125589242
102	5.049049867
103	4.988810229
104	4.918535221
105	4.852374277
106	4.783077074
107	4.727733456
108	4.665893394
109	4.598665731
110	4.533355473
111	4.466416563
112	4.405390993
113	4.330912672
114	4.266557237
115	4.214416821
116	4.147890864
117	4.104259663
118	4.049771143
119	3.994862834
120	3.934436633
121	3.888698586
122	3.836610926
123	3.775122346
124	3.733457926
125	3.676291825
126	3.619786815
127	3.579619191
128	3.536843459
129	3.500892928
130	3.46773354
131	3.433717123
132	3.379345484
133	3.33532418
134	3.298505647
135	3.264488061
136	3.23150906
137	3.199786086
138	3.153037086
139	3.111343125
140	3.072271452
141	3.041672568
142	3.000796653
143	2.959979789
144	2.928827034
145	2.890170079
146	2.846947656
147	2.821993401
148	2.781333955
149	2.747023902
150	2.722834832
151	2.677179328
152	2.645936167
153	2.614244688
154	2.583728271
155	2.558442584
156	2.520863209
157	2.484755826
158	2.442949115
159	2.420674603
160	2.381464231
161	2.354848941
162	2.327757267
163	2.294432587
164	2.272692249
165	2.248364737
166	2.221825128
167	2.201806593
168	2.184568177
169	2.168693583
170	2.146370525
171	2.112358377
172	2.091235803
173	2.070818977
174	2.038964481
175	2.008011699
176	1.985412887
177	1.95618126
178	1.916734254
179	1.884077303
180	1.857902322
181	1.837124225
182	1.820003016
183	1.805525994
184	1.781889376
185	1.774281986
186	1.744901239
187	1.728949753
188	1.713832092
189	1.698721601
190	1.678795763
191	1.661682287
192	1.64544263
193	1.63168863
194	1.611852441
195	1.597028836
196	1.590455205
197	1.584023709
198	1.568365994
199	1.562159873
