iter	Passed	Remaining
0	145	28957
1	146	14514
2	148	9719
3	150	7361
4	151	5901
5	152	4944
6	154	4250
7	155	3727
8	156	3315
9	157	2994
10	158	2727
11	159	2502
12	160	2312
13	161	2148
14	162	2006
15	163	1882
16	164	1772
17	165	1675
18	167	1594
19	168	1517
20	169	1446
21	170	1381
22	171	1323
23	173	1270
24	174	1219
25	175	1172
26	176	1129
27	177	1088
28	178	1051
29	179	1015
30	180	982
31	181	953
32	183	927
33	184	900
34	185	874
35	186	849
36	187	825
37	188	802
38	189	780
39	190	760
40	190	740
41	191	721
42	192	703
43	193	686
44	194	670
45	195	656
46	196	640
47	197	626
48	198	612
49	199	598
50	200	585
51	201	573
52	202	561
53	203	549
54	204	537
55	204	526
56	205	516
57	206	505
58	207	495
59	208	486
60	209	476
61	210	469
62	211	459
63	212	450
64	213	442
65	214	434
66	298	592
67	413	802
68	417	791
69	418	777
70	452	821
71	453	806
72	454	790
73	459	781
74	461	769
75	468	764
76	472	754
77	475	743
78	478	732
79	480	720
80	484	711
81	489	704
82	493	694
83	501	692
84	504	682
85	517	686
86	521	677
87	525	669
88	534	666
89	542	662
90	549	658
91	554	651
92	565	650
93	572	645
94	579	640
95	585	634
96	592	629
97	597	621
98	600	612
99	603	603
100	612	600
101	619	595
102	621	585
103	627	578
104	630	570
105	633	561
106	635	552
107	638	543
108	644	537
109	647	529
110	651	522
111	654	514
112	660	508
113	661	498
114	667	493
115	671	486
116	677	480
117	681	473
118	686	467
119	691	460
120	695	453
121	698	446
122	704	440
123	710	435
124	713	428
125	717	421
126	722	415
127	726	408
128	729	401
129	733	394
130	739	389
131	742	382
132	745	375
133	749	369
134	754	363
135	758	356
136	761	350
137	765	343
138	771	338
139	774	331
140	777	325
141	781	319
142	786	313
143	788	306
144	791	300
145	795	294
146	798	287
147	805	282
148	808	276
149	812	270
150	818	265
151	822	259
152	825	253
153	829	247
154	835	242
155	838	236
156	842	230
157	845	224
158	850	219
159	854	213
160	857	207
161	861	201
162	867	196
163	870	191
164	874	185
165	877	179
166	883	174
167	887	169
168	891	163
169	897	158
170	901	152
171	905	147
172	909	141
173	914	136
174	918	131
175	922	125
176	926	120
177	932	115
178	936	109
179	940	104
180	946	99
181	949	93
182	953	88
183	957	83
184	961	77
185	964	72
186	968	67
187	972	62
188	976	56
189	990	52
190	997	47
191	1001	41
192	1006	36
193	1013	31
194	1018	26
195	1029	21
196	1031	15
197	1036	10
198	1041	5
199	1045	0
